Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110
2,Shared,S40_01001_Set up working environment,Manual,"Mechanical Operator (1), Station (1)",10,60,70,42.5
3,Shared,S40_02001_Set in position Rails and LFT,Automatic,"Automation Operator (2), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",10,70,80,72.5
4,Quarter section 1,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,80,95,83.75
5,Quarter section 1,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,95,220,697.92
6,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,220,240,111.67
7,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,240,330,502.5
8,Quarter section 1,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",25,330,355,139.58
9,Quarter section 2,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,355,370,83.75
10,Quarter section 2,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,370,495,697.92
11,Quarter section 2,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,495,515,111.67
12,Quarter section 2,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,515,605,502.5
13,Quarter section 2,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",25,605,630,139.58
14,Quarter section 3,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,630,645,83.75
15,Quarter section 3,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,645,770,697.92
16,Quarter section 3,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,770,790,111.67
17,Quarter section 3,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,790,880,502.5
18,Quarter section 3,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",25,880,905,139.58
19,Quarter section 4,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,905,920,83.75
20,Quarter section 4,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,920,1045,697.92
21,Quarter section 4,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,1045,1065,111.67
22,Quarter section 4,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,1065,1155,502.5
23,Quarter section 4,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",25,1155,1180,139.58
24,Shared,S40_04014_Deinstall LFT and rails,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",35,1180,1215,195.42
25a,Quarter section 1,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,1215,1240,147.92
25b,Quarter section 2,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,1215,1240,147.92
25c,Quarter section 3,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,1215,1240,147.92
25d,Quarter section 4,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,1215,1240,147.92
26a,Quarter section 1,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1240,1270,182.5
26b,Quarter section 2,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1240,1270,182.5
26c,Quarter section 3,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1240,1270,182.5
26d,Quarter section 4,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1240,1270,182.5
27a,Quarter section 1,"S40_04005_Drilling (with adapter) 3,2 on Stringers int",Manual,"Mechanical Operator (2), Hand Drilling Machine (2), Drilling Template (1)",185,1270,1455,1187.08
27b,Quarter section 2,"S40_04005_Drilling (with adapter) 3,2 on Stringers int",Manual,"Mechanical Operator (2), Hand Drilling Machine (2), Drilling Template (1)",185,1270,1455,1187.08
27c,Quarter section 3,"S40_04005_Drilling (with adapter) 3,2 on Stringers int",Manual,"Mechanical Operator (2), Hand Drilling Machine (2), Drilling Template (1)",185,1270,1455,1187.08
27d,Quarter section 4,"S40_04005_Drilling (with adapter) 3,2 on Stringers int",Manual,"Mechanical Operator (2), Hand Drilling Machine (2), Drilling Template (1)",185,1270,1455,1187.08
28a,Quarter section 1,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1455,1480,152.08
28b,Quarter section 2,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1455,1480,152.08
28c,Quarter section 3,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1455,1480,152.08
28d,Quarter section 4,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1455,1480,152.08
29a,Quarter section 1,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1480,1495,88.75
29b,Quarter section 2,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1480,1495,88.75
29c,Quarter section 3,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1480,1495,88.75
29d,Quarter section 4,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1480,1495,88.75
30a,Quarter section 1,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1495,1530,116.67
30b,Quarter section 2,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1495,1530,116.67
30c,Quarter section 3,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1495,1530,116.67
