Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Station Platform (1), Transportation Tooling (1)",60,0,60,210
2,Shared,S40_01001_Set up working environment,Manual,"Mechanical Operator (1), Station (1), Station Platform (1)",10,60,70,255
3,Shared,S40_02001_Set in position Rails and LFT,Automatic,"Automation Operator (2), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",10,70,80,510
4a,Quarter section 1,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",15,80,95,435
4b,Quarter section 2,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",15,80,95,435
4c,Quarter section 3,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",15,80,95,435
4d,Quarter section 4,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",15,80,95,435
5a,Quarter section 1,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",125,95,220,"5,625"
5b,Quarter section 2,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",125,95,220,"5,625"
5c,Quarter section 3,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",125,95,220,"5,625"
5d,Quarter section 4,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",125,95,220,"5,625"
6a,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",20,220,240,870
6b,Quarter section 2,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",20,220,240,870
6c,Quarter section 3,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",20,220,240,870
6d,Quarter section 4,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",20,220,240,870
7a,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",90,240,330,"3,915"
7b,Quarter section 2,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",90,240,330,"3,915"
7c,Quarter section 3,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",90,240,330,"3,915"
7d,Quarter section 4,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",90,240,330,"3,915"
8,Shared,S40_04014_Deinstall LFT and rails,Automatic,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",35,330,365,"1,305"
9a,Quarter section 1,S40_04003_Drilling template install,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,365,390,"1,050"
9b,Quarter section 2,S40_04003_Drilling template install,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,365,390,"1,050"
9c,Quarter section 3,S40_04003_Drilling template install,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,365,390,"1,050"
9d,Quarter section 4,S40_04003_Drilling template install,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,365,390,"1,050"
10a,Quarter section 1,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",30,390,420,"1,260"
10b,Quarter section 2,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",30,390,420,"1,260"
10c,Quarter section 3,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",30,390,420,"1,260"
10d,Quarter section 4,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",30,390,420,"1,260"
11a,Quarter section 1,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Station (1), Station Platform (1), Hand Drilling Machine (2)",185,420,605,"7,470"
11b,Quarter section 2,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Station (1), Station Platform (1), Hand Drilling Machine (2)",185,420,605,"7,470"
11c,Quarter section 3,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Station (1), Station Platform (1), Hand Drilling Machine (2)",185,420,605,"7,470"
11d,Quarter section 4,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Station (1), Station Platform (1), Hand Drilling Machine (2)",185,420,605,"7,470"
12a,Quarter section 1,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,605,630,"1,050"
12b,Quarter section 2,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,605,630,"1,050"
12c,Quarter section 3,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,605,630,"1,050"
12d,Quarter section 4,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,605,630,"1,050"
