Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110
2,Shared,S40_01001_Set up working environment,Manual,Mechanical Operator (1),10,60,70,42.5
3,Shared,S40_02001_Set in position Rails and LFT,Automatic,"Automation Operator (2), Light Flex Track Rail (1), Light Flex Track Robot (1)",10,70,80,72.5
4,Quarter section 1,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,80,95,83.75
5,Quarter section 1,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,95,220,697.92
6,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,220,240,111.67
7,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,240,330,502.5
8,Quarter section 1,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",45,330,375,150
9,Quarter section 2,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,375,390,83.75
10,Quarter section 2,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,390,515,697.92
11,Quarter section 2,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,515,535,111.67
12,Quarter section 2,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,535,625,502.5
13,Quarter section 2,"S40_04012_Deburring int, positioning, attach them automatic",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",45,625,670,150
14,Quarter section 3,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,670,695,147.92
15,Quarter section 3,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,695,725,182.5
16,Quarter section 3,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Drilling Template (1), Hand Drilling Machine (2)",185,725,910,1187.08
17,Quarter section 3,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,910,935,152.08
18,Quarter section 3,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,935,950,88.75
19,Quarter section 3,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,950,985,116.67
20,Quarter section 3,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,985,1165,600
21,Quarter section 3,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,1165,1210,150
22,Quarter section 4,S40_04003_Drilling template install,Manual,Mechanical Operator (2),25,1210,1235,147.92
23,Quarter section 4,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1235,1265,182.5
24,Quarter section 4,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Mechanical Operator (2), Drilling Template (1), Hand Drilling Machine (2)",185,1265,1450,1187.08
25,Quarter section 4,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1450,1475,152.08
26,Quarter section 4,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1475,1490,88.75
27,Quarter section 4,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1490,1525,116.67
28,Quarter section 4,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,1525,1705,600
29,Quarter section 4,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,1705,1750,150
30,Shared,S40_04014_Deinstall LFT and rails,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",35,1750,1785,195.42
31,Shared,S40_02002_Cleanup and add sealant,Manual,Mechanical Operator (2),35,1785,1820,207.08
32,Shared,S40_02003_Inspection,Manual,Mechanical Operator (2),55,1820,1875,325.42
33,Shared,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,1875,1935,110
