Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110.00
2,Shared,S40_01001_Set up working environment,Manual,"Station (1), Mechanical Operator (1), Station Platform (1)",10,60,70,42.50
3,Quarter section 1,S40_02001_Set in position Rails and LFT,Manual,"Station (1), Mechanical Operator (2), Station Platform (1), Light Flex Track Rail (1)",10,70,80,72.50
4,Quarter section 1,S40_04001_Camera at stating holes,Manual,"Station (1), Mechanical Operator (1), Station Platform (1)",15,80,95,83.75
5,Quarter section 1,"S40_04002_Drilling orbital 4,8",Manual,"Station (1), Mechanical Operator (2), Station Platform (1), Hand Drilling Machine (2)",125,95,220,697.92
6,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Manual,Mechanical Operator (2),20,220,240,111.67
7,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Manual,Mechanical Operator (2),90,240,330,502.50
8,Quarter section 1,"S40_04012_Deburring int, positioning, attach them automatic",Manual,Mechanical Operator (2),25,330,355,139.58
9,Quarter section 2,S40_04003_Drilling template install,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,355,380,147.92
10,Quarter section 2,S40_04004_Fixation drilling template suite manual,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,380,410,182.50
11,Quarter section 2,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,410,595,1187.08
12,Quarter section 2,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,595,620,152.08
13,Quarter section 2,S40_04007_Set in position temporary fastener,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,620,635,88.75
14,Quarter section 2,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,635,670,116.67
15,Quarter section 2,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,670,850,600.00
16,Quarter section 2,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,850,895,150.00
17,Quarter section 3,S40_04001_Camera at stating holes,Manual,"Station (1), Mechanical Operator (1), Station Platform (1)",15,895,910,83.75
18,Quarter section 3,"S40_04002_Drilling orbital 4,8",Manual,"Station (1), Mechanical Operator (2), Station Platform (1), Hand Drilling Machine (2)",125,910,1035,697.92
19,Quarter section 3,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Manual,Mechanical Operator (2),20,1035,1055,111.67
20,Quarter section 3,S40_04010_Riveting buttstraps and stabiliser automatic,Manual,Mechanical Operator (2),90,1055,1145,502.50
21,Quarter section 3,"S40_04012_Deburring int, positioning, attach them automatic",Manual,Mechanical Operator (2),25,1145,1170,139.58
22,Quarter section 3,S40_04014_Deinstall LFT and rails,Manual,"Station (1), Mechanical Operator (1), Station Platform (1), Light Flex Track Rail (1)",35,1170,1205,195.42
23,Quarter section 4,S40_04003_Drilling template install,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,1205,1230,147.92
24,Quarter section 4,S40_04004_Fixation drilling template suite manual,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,1230,1260,182.50
25,Quarter section 4,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,1260,1445,1187.08
26,Quarter section 4,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,1445,1470,152.08
27,Quarter section 4,S40_04007_Set in position temporary fastener,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,1470,1485,88.75
28,Quarter section 4,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1485,1520,116.67
29,Quarter section 4,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,1520,1700,600.00
30,Quarter section 4,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,1700,1745,150.00
31,Shared,S40_02002_Cleanup and add sealant,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",35,1745,1780,207.08
32,Shared,S40_02003_Inspection,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",55,1780,1835,325.42
33,Shared,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,1835,1895,110.00
